패턴	글자수	단어수	예시단어(최대5개)
ㄱㅊㅇ	3	31	괜찮아,괜찮은,괜찮을,경찰이,근처에
ㅁㅇㄴ	3	31	맛있는,말이냐,명이나,멋있는,몇이나
ㅂㅇㄷ	3	31	보인다,받았다,보았다,보였다,받았던
ㅅㅂㅇ	3	31	수밖에,신발을,새벽에,사방에,신분을
ㅇㅈㄴ	3	31	언제나,여자는,이제는,이지는,있잖니
ㅇㅈㄹ	3	31	여자를,여자랑,우주를,이지를,억지로
ㅂㅂ	2	30	바보,봐봐,방법,바비,복부
ㅅㅍ	2	30	슬픈,실패,살펴,슈퍼,슬퍼
ㅋㄹ	2	30	캘리,코를,칼로,클럽,켈리
ㄱㄹㄴ	3	30	그러니,그러나,그러는,거라는,그러냐
ㄱㄹㅈ	3	30	그렇지,그렇죠,그러지,그랬지,그러죠
ㄱㅅㅎ	3	30	계속해,근사한,간신히,감사할,괴상한
ㄴㅇㅈ	3	30	나오지,나아질,놈이지,남았지,나왔지
ㄷㅁㅇ	3	30	다물어,동만아,동물을,동물원,동맥이
ㅂㅎㅇ	3	30	변했어,방향을,봉합을,범행을,변화에
ㅅㅇㄱ	3	30	사이가,소아과,살아갈,싶은게,신에게
ㅅㅌㅇ	3	30	선택을,선택의,선택은,상태에,선택이
ㅇㄴㄷ	3	30	있는데,아니다,입니다,없는데,아닌데
ㅇㅇㅎ	3	30	유일한,영원히,이용해,영원한,우연히
ㅈㄱㄹ	3	30	제기랄,증거를,자기를,지구를,장기를
ㅂㅌ	2	29	보통,부터,부탁,버틸,빅터
ㅍㄱ	2	29	피가,포기,폐가,풀고,팔고
ㄱㄱㄴ	3	29	같구나,결과는,관계는,거구나,경감님
ㄴㄹㄱ	3	29	내려가,놀라게,노래가,나라고,내리고
ㅁㅇㅅ	3	29	밑에서,말일세,많아서,몸에서,면에서
ㅂㄹㄷ	3	29	바란다,브랜드,불러도,브래드,바래다
ㅅㄱㄷ	3	29	생각도,시간도,신경도,생겼다,상관도
ㅅㄴㅇ	3	29	손님이,싶네요,스노우,소년이,승남아
ㅅㅇㄷ	3	29	싶은데,싫은데,싶었던,싶었다,싶어도
ㅈㄱㄴ	3	29	장군님,좋겠네,좋구나,자기는,즐기는
ㅈㄱㄷ	3	29	지금도,좋겠다,조금도,자기도,제군들
ㅎㄴㅇ	3	29	하나의,하나요,해냈어,하네요,하늘을
ㅎㄷㅇ	3	29	힘들어,행동을,한동안,행동이,한대요
ㅈㅇㅇㅇ	4	29	죽었어요,중이에요,좋았어요,죽였어요,잡았어요
ㄱㅇㅈ	3	28	가야지,것이지,강아지,것이죠,곳이죠
ㄴㅈㅇ	3	28	나중에,남자와,남자의,남자야,난쟁이
ㅁㅇㄹ	3	28	말아라,먹으러,먹어라,밑으로,먹을래
ㅂㅂㅇ	3	28	방법을,방법이,방법은,부분을,바보야
ㅅㅅㄹ	3	28	스스로,실수를,섹스를,식사를,실수로
ㅇㅅㄹ	3	28	의사를,열쇠를,용서를,역사를,인사를
ㅇㅇㅁ	3	28	있으면,않으면,없으면,에이미,왔으면
ㅇㅈㄷ	3	28	아직도,알지도,언제든,여자들,여자도
ㅇㅊㅇ	3	28	아침에,애초에,아침엔,아침을,위층에
ㅈㅅㄱ	3	28	정신과,잘생긴,전사가,주시고,장소가
ㅈㅈㅎ	3	28	진정해,진정한,정직한,집중해,적절한
ㅈㅊ	2	27	전체,조차,장치,좌측,절차
ㅎㅁ	2	27	하면,하며,후면,한명,희망
ㄴㅁㅇ	3	27	내말은,나무에,나뭇잎,내말이,누명을
ㄴㅇㄴ	3	27	나오는,나이는,눈에는,날에는,늦었네
ㅁㄹㄴ	3	27	모르는,말로는,머리는,미래는,뭐라는
ㅁㅎㄱ	3	27	말하고,못하게,못하고,뭐하고,말하길
ㅂㄹㅈ	3	27	부르지,바라지,부러진,버리지,부르죠
ㅇㄹㄷ	3	27	우리도,오래된,이름도,우리들,이래도
ㅇㅁㄹ	3	27	오말리,엄마를,아무리,엄마랑,아무런
ㅇㅈㄱ	3	27	여자가,언젠가,이지가,여지가,언젠간
ㅈㅅㄹ	3	27	장소를,조사를,잔소리,지시를,주사를
ㅊㅅㅇ	3	27	최선을,최선의,최상의,총상을,책상에
ㅎㄷㄱ	3	27	한다고,했다고,힘들게,하더군,하다가
ㅎㅁㅇ	3	27	희망을,희망이,한명이,희망은,한명은
ㅇㅇㄱㅇ	4	27	있을거야,않을거야,없을거야,있을게요,있었군요
ㄷㅁ	2	26	되면,동무,다만,들면,도망
ㄷㅎ	2	26	대해,대한,대학,당한,대화
ㅊㅎ	2	26	착한,친한,출혈,취해,축하
ㄱㄷㄱ	3	26	게다가,간다고,같다고,군대가,그들과
ㄱㅇㄴ	3	26	같으니,기억나,그이는,경우는,그애는
ㄴㄷㅇ	3	26	놈들이,놈들은,놈들을,놈들의,니들이
ㄷㄴㅇ	3	26	되나요,됐네요,다니엘,됐나요,되네요
ㄷㅇㄴ	3	26	다음날,들었나,됐으니,들었니,들었네
ㅁㄹㄱ	3	26	뭐라고,말라고,모르고,머리가,뭐라구
ㅁㅇㄱ	3	26	말인가,무언가,맡을게,맛있게,말이군
ㅂㄹㄱ	3	26	보라고,버리고,보려고,보라구,부르고
ㅅㅇㄴ	3	26	수있는,술이나,사이는,서있는,숨었니
ㅅㅊㅇ	3	26	삼촌이,삼촌은,순철이,성칠아,산책을
ㅌㅇㅇ	3	26	토요일,타입이,타이윈,타이어,태양이
ㄱㄹㄱㅇ	4	26	그렇군요,거라고요,그런가요,그럴게요,그런거야
ㄹㅇ	2	25	루이,레이,로이,라인,레오
ㅅㅊ	2	25	삼촌,상처,시체,셔츠,수천
ㄱㄱㄷ	3	25	그것도,거기다,거거든,같기도,같거든
ㄱㅅㄱ	3	25	기사가,거시기,검사가,계시고,가스가
ㄴㅅㅇ	3	25	녀석이,녀석은,녀석을,녀석의,난실아
ㄷㅇㄹ	3	25	들어라,돈으로,단어를,동의를,도우러
ㅁㅎㅇ	3	25	못해요,말했어,못했어,말해야,말해요
ㅂㅇㅅ	3	25	밖에서,방에서,받아서,보여서,바에서
ㅅㄱㄹ	3	25	세계를,손가락,사과를,시계를,사고로
ㅅㄹㄱ	3	25	소리가,사람과,서로가,사랑과,사령관
ㅅㅇㅅ	3	25	속에서,싶어서,살아서,싫어서,숲에서
ㅇㅈㅎ	3	25	완전히,여전히,안전한,안전해,안전할
ㅈㄴㄱ	3	25	자네가,지내고,지나간,조니가,지나갈
ㅍㄹㅇ	3	25	파리에,프라이,폭력을,펠랑이,플레이
ㅇㄹㅇㅇ	4	25	이런일이,이리와요,어려워요,이랬어요,온라인에
ㅎㅎ	2	24	향해,하하,향한,화학,호흡
ㄱㄷㄹ	3	24	기다려,그대로,기다릴,군대를,기도를
ㄱㅅㄹ	3	24	검사를,그사람,기사를,거슬러,갈수록
ㄱㅈㄷ	3	24	가져다,걸지도,가족들,가족도,건지도
ㄴㅇㄷ	3	24	나온다,나이든,나왔다,늦었다,남았다
ㄷㄱㄴ	3	24	되겠네,되겠나,됐구나,되겠니,더구나
ㅅㅇㅈ	3	24	셈이죠,살인자,셈이지,싶었지,수영장
ㅇㄹㅅ	3	24	알렉스,엘리스,이래서,앨리슨,앨리스
ㅈㄴㄷ	3	24	자네도,죽는다,자네들,줬는데,접니다
ㅈㄹㄱ	3	24	저렇게,주려고,자리가,자라고,주라고
ㅈㅎㄱ	3	24	저희가,잘하고,전화가,전화기,중학교
ㅊㅈㅇ	3	24	초점을,천재야,천주의,초점이,추적을
ㄴㅁ	2	23	너무,나면,나무,나만,너만
ㅃㅇ	2	23	뽑아,뿐인,빵을,빨아,빼야
ㅊㄷ	2	23	침대,최대,차도,충돌,초대
ㄱㅈㄹ	3	23	가지러,강제로,가지를,굶주린,공주를
ㄴㅇㄹ	3	23	눈으로,나와라,나이를,놈이랑,노예로
ㄴㅇㅅ	3	23	나와서,남아서,늦어서,누워서,내에서
ㅁㅅㄱ	3	23	마시고,모시고,무섭게,못생긴,마시게
ㅁㅈㄱ	3	23	문제가,무조건,멋지게,만지고,멋지군
ㅁㅊㄱ	3	23	멈추게,멈추고,미치게,마치고,망치고
ㅇㄷㄷ	3	23	있단다,없단다,어디든,어디다,안된다
ㅈㅈㄱ	3	23	조지가,존재가,자전거,재주가,전쟁과
ㅍㅇㅇ	3	23	파일을,편이야,포옹을,판엠의,팔아야
ㅁㅇㅇㅇ	4	23	말이에요,맞았어요,먹었어요,말이예요,모양이야
ㅇㄷㄱㅇ	4	23	있다고요,있다구요,어딘가에,없다고요,없다구요
ㅇㅈㅇㅇ	4	23	있잖아요,없잖아요,알잖아요,일주일에,않잖아요
ㄷㅂ	2	22	담배,두번,덤보,덤벼,돌볼
ㅌㅈ	2	22	터질,통증,테지,통제,특정
ㄱㅊㄱ	3	22	가치가,귀찮게,고치고,괜찮고,거칠게
ㄷㄱㄹ	3	22	대가를,단계를,되기를,단계로,듣기론
ㄷㄹㄴ	3	22	도련님,드리는,들리나,달리는,들리는
ㅁㄷㄱ	3	22	모두가,만들고,모든게,모든걸,만들기
ㅂㅌㅇ	3	22	부탁이,보통은,부탁을,버튼을,병태야
ㅅㄱㄴ	3	22	생기는,사귀는,생각나,숨기는,싶구나
ㅅㄱㅈ	3	22	생겼지,생각지,생기지,숨겨진,세가지
ㅅㅅㄱ	3	22	선수가,섹스가,실수가,산소가,신세가
ㅅㅍㅇ	3	22	슬픔을,슬픔에,스파이,샘플을,스페인
ㅇㅅㄴ	3	22	아스나,의사는,오시는,열쇠는,와서는
ㅈㅈㄹ	3	22	존재를,저지른,조지를,저절로,조지랑
ㅋㄹㅇ	3	22	클리어,클레어,클럽에,캘리의,크레인
ㅎㄴㄱ	3	22	하나가,하는게,하는거,화나게,하는건
ㄷㅇㅇㅇ	4	22	들었어요,들어와요,되었어요,돌아왔어,들어왔어
ㅇㄱㄷㅇ	4	22	있거든요,없거든요,인간들이,이것들이,인간들은
