theta_id,reward_base,activity_scale,enhance_cost_base,enhance_growth,enhance_success_scale,level_cost_base,drop_D,drop_C,drop_B,drop_A,synth_cost_scale,synth_success_scale,effect_scale,spend_low,spend_mid,spend_high,spend_whale,d60_reach_d5,d60_reach_d10,d60_reach_d15,d60_reach_d20,d60_has_B,d60_has_A,d60_has_S,d60_p50,d60_p90,d60_p99,d60_p99_p50,d60_mean_bonus,d60_p99_bonus,d60_sink,d60_inflow,d60_refund,d60_sink_ratio,d60_drop7,d60_spare_total
6848,1178.4333,1.0761335,708.77344,1.4002151,1.1398835,289.17657,0.042061366,0.013834767,0.002741394,0.00018014468,1.0809588,1.2321529,1.2474635,0.21902804,0.2762885,0.6321807,0.93499094,0.5650338,0.009531854,0.00024131274,0.0,0.26206565,0.017012548,0.0,5708.245,18191.125,44096.25,7.72501,0.023844767,0.15985657,103558610.0,115318220.0,812.5,0.8980183,0.40528476,1478.625
6849,761.437,1.456439,420.44696,1.4812019,0.82946175,369.00983,0.02179442,0.0051622363,0.0008769735,0.00047111206,1.6995827,0.88222796,0.9678221,0.14028129,0.43550873,0.4582021,0.72139204,0.68569016,0.0132722,0.00012065637,0.0,0.15021718,0.05091699,0.0,5539.0347,19804.857,56867.67,10.266711,0.017824294,0.1690496,83173620.0,98439430.0,250.0,0.8449196,0.30707046,920.5625
6850,515.0708,0.71734977,636.7977,1.2665424,0.966426,482.42908,0.037460234,0.0075825797,0.0019703244,0.0007237639,1.250596,0.7922288,1.0122068,0.19305664,0.37355328,0.6759332,0.5939751,0.4825048,0.043315638,0.0020511583,0.0,0.14708012,0.04222973,0.0,2652.7507,9434.651,34523.176,13.014105,0.013446864,0.13968532,38173750.0,32552752.0,62.5,1.1726713,0.25506756,756.3125
6851,942.994,1.1495962,426.10803,1.6430545,0.9959272,224.9895,0.016555455,0.010911262,0.0033971947,0.00025557025,0.778478,1.0643361,0.7411569,0.10248171,0.21222265,0.40194878,0.7624075,0.34278476,0.0037403475,0.0,0.0,0.2863176,0.024372587,0.0,6809.697,23472.46,64579.004,9.483389,0.021046143,0.16853945,73551710.0,95952660.0,0.0,0.7665417,0.26677126,895.25
6852,904.1703,0.8816292,344.47318,1.6737697,1.0609504,259.04416,0.032293018,0.007203965,0.001716383,0.0005563368,1.5656902,1.0409555,1.075246,0.15039584,0.23093462,0.36198258,0.8466476,0.45294404,0.0038610036,0.0,0.0,0.15238899,0.038006756,0.0,5301.3467,17620.398,50481.633,9.522417,0.01657967,0.15338413,60219000.0,70880800.0,62.5,0.8495805,0.28330114,819.25
6853,643.03357,1.2509362,788.56195,1.3200958,0.8627059,339.006,0.011390569,0.009781443,0.00357082,9.400264e-05,0.65519017,0.81561077,0.7962896,0.22981052,0.34163922,0.7344518,0.6094637,0.4253137,0.01097973,0.00012065637,0.0,0.3108108,0.009652509,0.0,4705.065,16736.797,54975.836,11.684395,0.018348292,0.13834563,61500904.0,71153330.0,31.25,0.8643429,0.2436052,772.75
6854,801.65393,0.9243958,510.9314,1.5542006,0.78904855,446.91397,0.04689662,0.013466669,0.0024757101,0.0003466561,1.0089593,0.9838551,1.1149873,0.091367185,0.41257903,0.50573516,0.6868818,0.3299952,0.00096525095,0.0,0.0,0.21368243,0.028474903,0.0,4138.604,13406.85,41341.164,9.989157,0.018938024,0.12864375,63269264.0,66287064.0,250.0,0.9544702,0.38561776,1327.625
6855,1051.8425,1.342543,563.90674,1.4679546,1.1557133,189.4309,0.026627047,0.00404536,0.0010589369,0.0006317643,1.9604533,1.1305273,0.8446264,0.18261006,0.30398276,0.57819855,0.8692292,0.63163614,0.05224421,0.00012065637,0.0,0.16686776,0.06515444,0.0,6119.1094,23244.89,65839.695,10.7596855,0.02173635,0.20872438,104410640.0,125645130.0,62.5,0.8309959,0.30731177,956.625
6856,1110.2971,0.75781715,542.4115,1.3507903,0.84281313,212.40025,0.033123948,0.0060840407,0.0015461617,0.0002907686,1.8707863,1.1975477,0.827633,0.08531056,0.3549561,0.39220688,0.55740947,0.5653958,0.0425917,0.0014478764,0.0,0.11245174,0.019666988,0.0,4841.5176,18672.586,60181.684,12.430335,0.014651518,0.13270594,61421170.0,74114490.0,0.0,0.8287336,0.23998551,669.875
6857,830.0198,1.1775849,583.1774,1.6712517,1.0948915,467.6612,0.013391673,0.00941273,0.0038482954,0.0007589821,0.9126849,0.9068248,1.0976056,0.17323226,0.19362648,0.7166291,0.799083,0.25530887,0.0013272201,0.0,0.0,0.3420608,0.070463315,0.0,6247.003,23610.994,63813.688,10.215089,0.019518897,0.17837414,66598920.0,87759200.0,0.0,0.75888246,0.2506033,793.0
